Quarter,Average_Gold_Price
2000Q1,277.2583333333333
2001Q1,271.6041666666667
2002Q1,312.95166666666665
2003Q1,368.33
2004Q1,411.69083333333333
2005Q1,448.785
2006Q1,614.7608333333334
2007Q1,705.7416666666667
2008Q1,878.0083333333333
2009Q1,984.8291666666668
2010Q1,1237.7966666666666
2011Q1,1573.0275000000001
2012Q1,1676.0625
2013Q1,1396.6916666666666
2014Q1,1252.0166666666667
2015Q1,1152.9399999999998
2016Q1,1249.455
2017Q1,1266.8633333333335
2018Q1,1265.5033333333333
2019Q1,1401.8575
2020Q1,1776.1666666666667
2021Q1,1791.6658333333332
2022Q1,1795.295
2023Q1,1952.3108333333332
2024Q1,2404.82
2025Q1,3077.802
